"","Howlong","attachedPS","identifyPS","satisfaction","inspired","stressreduce","winterrec","summerrec","wildresources","enoughresources","culturalactivites","stewardship","workwithothers","trustpolicymakers","trustexperts"
"Howlong",1,-0.628410900976661,-0.626460557568215,-0.163996302812304,0.230370363923058,0.0628640945221518,-0.115061530522861,0.31054155712273,0.200893300467662,-0.181760103645716,0.021379237945343,0.226080434170514,0.101420225209561,0.206326815312458,0.0387653846998414
"attachedPS",-0.628410900976661,1,0.734116979048802,0.266893414982289,-0.103535353535354,0.0871295271905259,0.210383796766182,-0.185521579985938,-0.416527089859617,0.393939393939394,-0.158375724289142,-0.319240769762962,-0.118849157294607,-0.105962356288652,-0.304926133616402
"identifyPS",-0.626460557568215,0.734116979048802,1,0.137210047488083,0.175432366316809,0.361252975220397,0.311681123776078,0.049570807510721,-0.349603954641841,0.321176178333851,-0.316698834006288,-0.310580114711225,-0.219179611810156,0.122496293333071,-0.156762688493608
"satisfaction",-0.163996302812304,0.266893414982289,0.137210047488083,1,-0.150760995488413,0.256243880061511,-0.0940525652246464,0,-0.0826428425762399,0.00506759648700549,-0.325512643603455,-0.098560342727761,-0.2642235910529,0.132358726163838,0.238182521303154
"inspired",0.230370363923058,-0.103535353535354,0.175432366316809,-0.150760995488413,1,0.510383739016917,0.0906108431616726,0.626135332452541,-0.29474586443456,0.306818181818182,-0.0555592258594974,-0.178038121598575,-0.159048136967783,0.217330955245092,-0.193956179926889
"stressreduce",0.0628640945221518,0.0871295271905259,0.361252975220397,0.256243880061511,0.510383739016917,1,0.120817009047749,0.455251029816455,-0.188988902897423,-0.0180267987290743,-0.100293643726008,-0.15338992877399,-0.160118113456454,0.194895005455818,0.103326714257437
"winterrec",-0.115061530522861,0.210383796766182,0.311681123776078,-0.0940525652246464,0.0906108431616726,0.120817009047749,1,0.286933864126542,-0.363963102510609,0.412435561977268,0.0410882492448261,0.0734292527348854,0.181653529158679,-0.181945701402582,0.0525336529395949
"summerrec",0.31054155712273,-0.185521579985938,0.049570807510721,0,0.626135332452541,0.455251029816455,0.286933864126542,1,-0.129664434202583,0.0695705924947268,-0.070374903521428,0.11275729131217,0.0642017429614115,0.23830678432808,0.159506983784743
"wildresources",0.200893300467662,-0.416527089859617,-0.349603954641841,-0.0826428425762399,-0.29474586443456,-0.188988902897423,-0.363963102510609,-0.129664434202583,1,-0.801285164390959,-0.0642725987670048,0.51776031107303,0.234538885825669,0.172300609401128,0.342608167315276
"enoughresources",-0.181760103645716,0.393939393939394,0.321176178333851,0.00506759648700549,0.306818181818182,-0.0180267987290743,0.412435561977268,0.0695705924947268,-0.801285164390959,1,0.0114950122467926,-0.457373795141166,-0.202742680090801,-0.36654325287605,-0.471863542210192
"culturalactivites",0.021379237945343,-0.158375724289142,-0.316698834006288,-0.325512643603455,-0.0555592258594974,-0.100293643726008,0.0410882492448261,-0.070374903521428,-0.0642725987670048,0.0114950122467926,1,0.347772424583084,0.661227499013284,0.0360937147522489,-0.0322116977069473
"stewardship",0.226080434170514,-0.319240769762962,-0.310580114711225,-0.098560342727761,-0.178038121598575,-0.15338992877399,0.0734292527348854,0.11275729131217,0.51776031107303,-0.457373795141166,0.347772424583084,1,0.620369219274618,0.236580111703692,0.220518794487721
"workwithothers",0.101420225209561,-0.118849157294607,-0.219179611810156,-0.2642235910529,-0.159048136967783,-0.160118113456454,0.181653529158679,0.0642017429614115,0.234538885825669,-0.202742680090801,0.661227499013284,0.620369219274618,1,0.0748355425111562,0.178988339223749
"trustpolicymakers",0.206326815312458,-0.105962356288652,0.122496293333071,0.132358726163838,0.217330955245092,0.194895005455818,-0.181945701402582,0.23830678432808,0.172300609401128,-0.36654325287605,0.0360937147522489,0.236580111703692,0.0748355425111562,1,0.133866926394464
"trustexperts",0.0387653846998414,-0.304926133616402,-0.156762688493608,0.238182521303154,-0.193956179926889,0.103326714257437,0.0525336529395949,0.159506983784743,0.342608167315276,-0.471863542210192,-0.0322116977069473,0.220518794487721,0.178988339223749,0.133866926394464,1
